ID Consumidor	Género	Estado civil	Mascotas	Barrio
283	F	Soltero(a)	3	San Miguel 
286	F	Soltero(a)	1	La Esperanza
287	F	Casado(a)	1	San Pedro
291	F	Soltero(a)	1	San Pedro
294	F	Soltero(a)	1	Santa Ana
296	F	Casado(a)	5	San Pedro
297	F	Casado(a)	5	San Pedro
298	F	Casado(a)	2	San Pedro
299	F	Casado(a)	1	San Pedro
301	F	Casado(a)	5	Santa Ana
303	F	Casado(a)	1	San Miguel 
304	F	Casado(a)	1	San Juan
305	F	Soltero(a)	4	San Pedro
309	F	Soltero(a)	1	La Esperanza
310	F	Soltero(a)	1	San Pedro
312	F	Casado(a)	3	San Juan
317	F	Casado(a)	1	San Juan
319	F	Casado(a)	1	San Juan
321	F	Soltero(a)	2	San Pedro
322	F	Soltero(a)	1	Santa Ana
323	F	Casado(a)	4	Santa Ana
328	F	Soltero(a)	3	Santa Ana
329	F	Soltero(a)	2	San Juan
330	F	Soltero(a)	1	San Pedro
335	F	Soltero(a)	5	San Juan
336	F	Casado(a)	3	San Pedro
337	F	Casado(a)	1	La Esperanza
338	F	Casado(a)	3	San Miguel 
339	F	Soltero(a)	2	San Pedro
340	F	Casado(a)	2	La Esperanza
341	F	Casado(a)	1	San Juan
344	F	Soltero(a)	1	San Pedro
345	F	Casado(a)	2	San Pedro
346	F	Casado(a)	1	San Juan
347	F	Soltero(a)	4	San Miguel 
349	F	Soltero(a)	1	San Miguel 
352	F	Casado(a)	1	Santa Ana
354	F	Casado(a)	2	La Esperanza
355	F	Soltero(a)	1	Santa Ana
360	F	Casado(a)	4	Santa Ana
361	F	Soltero(a)	1	Santa Ana
363	F	Casado(a)	4	San Juan
364	F	Casado(a)	4	San Juan
365	F	Soltero(a)	2	San Miguel 
366	F	Soltero(a)	2	Santa Ana
369	F	Casado(a)	1	San Juan
370	F	Casado(a)	2	San Juan
372	F	Casado(a)	1	San Miguel 
373	F	Soltero(a)	2	San Juan
376	F	Soltero(a)	2	Santa Ana
378	F	Soltero(a)	1	Santa Ana
381	F	Casado(a)	4	San Juan
382	F	Casado(a)	4	San Pedro
389	F	Casado(a)	1	San Pedro
391	F	Soltero(a)	4	San Pedro
392	F	Casado(a)	1	San Juan
394	F	Soltero(a)	2	San Miguel 
395	F	Casado(a)	4	Santa Ana
397	F	Casado(a)	2	San Pedro
398	F	Soltero(a)	1	San Juan
399	F	Casado(a)	3	San Pedro
400	F	Casado(a)	1	La Esperanza
402	F	Soltero(a)	1	San Miguel 
405	F	Soltero(a)	3	San Juan
406	F	Soltero(a)	1	San Juan
409	F	Casado(a)	1	Santa Ana
411	F	Casado(a)	1	San Juan
414	F	Casado(a)	3	San Pedro
415	F	Soltero(a)	4	San Pedro
417	F	Soltero(a)	1	San Juan
422	F	Casado(a)	2	San Juan
423	F	Soltero(a)	5	San Pedro
426	F	Casado(a)	4	San Juan
430	F	Soltero(a)	3	Santa Ana
432	F	Casado(a)	4	San Juan
436	F	Casado(a)	1	San Pedro
438	F	Casado(a)	2	San Pedro
439	F	Casado(a)	3	San Juan
440	F	Casado(a)	5	San Juan
441	F	Casado(a)	5	San Miguel 
443	F	Soltero(a)	1	San Miguel 
446	F	Soltero(a)	2	San Juan
447	F	Soltero(a)	1	San Pedro
448	F	Casado(a)	1	San Juan
450	F	Soltero(a)	3	San Pedro
451	F	Casado(a)	1	San Pedro
453	F	Casado(a)	3	Santa Ana
454	F	Soltero(a)	3	San Juan
457	F	Soltero(a)	1	San Pedro
462	F	Soltero(a)	2	La Esperanza
463	F	Soltero(a)	3	La Esperanza
464	F	Soltero(a)	3	San Juan
465	F	Soltero(a)	3	San Juan
466	F	Casado(a)	4	San Pedro
467	F	Soltero(a)	1	San Juan
468	F	Casado(a)	2	San Miguel 
471	F	Soltero(a)	3	Santa Ana
472	F	Casado(a)	1	San Juan
473	F	Casado(a)	3	Santa Ana
474	F	Casado(a)	1	San Pedro
476	F	Soltero(a)	1	San Juan
478	F	Casado(a)	5	Santa Ana
480	F	Casado(a)	3	La Esperanza
481	F	Casado(a)	2	Santa Ana
482	F	Soltero(a)	4	Santa Ana
484	F	Casado(a)	3	San Juan
486	F	Casado(a)	2	San Pedro
487	F	Soltero(a)	4	San Pedro
489	F	Casado(a)	2	La Esperanza
491	F	Casado(a)	2	La Esperanza
492	F	Casado(a)	1	San Miguel 
493	F	Casado(a)	5	San Juan
494	F	Soltero(a)	1	San Pedro
497	F	Soltero(a)	4	La Esperanza
498	F	Soltero(a)	1	San Pedro
499	F	Soltero(a)	1	Santa Ana
502	F	Soltero(a)	3	San Juan
504	F	Soltero(a)	4	San Juan
506	F	Soltero(a)	3	San Pedro
510	F	Soltero(a)	1	La Esperanza
511	F	Casado(a)	4	Santa Ana
518	F	Casado(a)	3	San Pedro
521	F	Casado(a)	1	Santa Ana
524	F	Soltero(a)	2	San Juan
526	F	Casado(a)	2	Santa Ana
529	F	Soltero(a)	4	Santa Ana
533	F	Casado(a)	1	San Juan
534	F	Casado(a)	3	La Esperanza
537	F	Casado(a)	3	La Esperanza
538	F	Soltero(a)	5	Santa Ana
540	F	Soltero(a)	4	San Pedro
541	F	Soltero(a)	1	Santa Ana
542	F	Casado(a)	3	San Pedro
543	F	Casado(a)	3	San Juan
545	F	Soltero(a)	3	San Juan
546	F	Soltero(a)	3	La Esperanza
547	F	Soltero(a)	1	Santa Ana
551	F	Soltero(a)	2	San Juan
552	F	Soltero(a)	4	Santa Ana
553	F	Casado(a)	1	San Pedro
554	F	Soltero(a)	2	La Esperanza
563	F	Soltero(a)	4	San Juan
564	F	Casado(a)	3	Santa Ana
565	F	Soltero(a)	4	San Juan
566	F	Soltero(a)	5	San Miguel 
567	F	Soltero(a)	1	San Pedro
568	F	Soltero(a)	1	La Esperanza
569	F	Soltero(a)	1	La Esperanza
570	F	Soltero(a)	1	San Juan
571	F	Soltero(a)	1	Santa Ana
572	F	Casado(a)	3	San Miguel 
573	F	Soltero(a)	2	Santa Ana
574	F	Soltero(a)	2	Santa Ana
581	F	Soltero(a)	1	Santa Ana
587	F	Casado(a)	2	San Juan
588	F	Casado(a)	4	La Esperanza
591	F	Soltero(a)	3	Santa Ana
593	F	Casado(a)	3	San Juan
594	F	Soltero(a)	1	San Juan
595	F	Soltero(a)	4	Santa Ana
597	F	Soltero(a)	4	Santa Ana
598	F	Casado(a)	1	San Pedro
601	F	Soltero(a)	4	San Pedro
602	F	Soltero(a)	3	San Juan
603	F	Casado(a)	1	Santa Ana
604	F	Soltero(a)	2	San Miguel 
606	F	Soltero(a)	4	San Pedro
612	F	Casado(a)	3	San Miguel 
614	F	Casado(a)	2	San Juan
615	F	Casado(a)	4	La Esperanza
617	F	Soltero(a)	3	San Juan
618	F	Casado(a)	1	Santa Ana
619	F	Casado(a)	2	San Juan
621	F	Casado(a)	2	Santa Ana
622	F	Soltero(a)	2	La Esperanza
624	F	Soltero(a)	3	San Juan
625	F	Soltero(a)	1	San Juan
629	F	Casado(a)	4	Santa Ana
630	F	Soltero(a)	4	Santa Ana
632	F	Casado(a)	2	San Pedro
633	F	Casado(a)	2	San Pedro
636	F	Soltero(a)	1	San Juan
638	F	Casado(a)	3	Santa Ana
639	F	Casado(a)	2	San Juan
644	F	Casado(a)	4	San Juan
645	F	Soltero(a)	1	Santa Ana
647	F	Casado(a)	5	Santa Ana
649	F	Casado(a)	3	La Esperanza
652	F	Soltero(a)	3	San Pedro
654	F	Casado(a)	3	Santa Ana
655	F	Casado(a)	1	La Esperanza
658	F	Soltero(a)	3	San Juan
662	F	Casado(a)	3	Santa Ana
663	F	Soltero(a)	3	Santa Ana
664	F	Soltero(a)	2	San Juan
665	F	Soltero(a)	4	San Pedro
669	F	Soltero(a)	2	San Juan
670	F	Soltero(a)	4	La Esperanza
673	F	Casado(a)	1	Santa Ana
676	F	Soltero(a)	5	San Juan
680	F	Casado(a)	3	La Esperanza
681	F	Soltero(a)	4	Santa Ana
682	F	Soltero(a)	2	San Pedro
683	F	Casado(a)	1	La Esperanza
689	F	Soltero(a)	4	Santa Ana
690	F	Soltero(a)	5	Santa Ana
697	F	Casado(a)	2	San Juan
698	F	Casado(a)	1	San Juan
704	F	Casado(a)	1	La Esperanza
711	F	Casado(a)	2	San Juan
717	F	Soltero(a)	4	San Pedro
719	F	Casado(a)	1	San Juan
724	F	Soltero(a)	2	San Pedro
726	F	Soltero(a)	4	San Juan
727	F	Casado(a)	3	San Pedro
728	F	Casado(a)	5	San Pedro
729	F	Soltero(a)	3	Santa Ana
731	F	Casado(a)	1	La Esperanza
732	F	Soltero(a)	5	San Pedro
733	F	Soltero(a)	1	Santa Ana
734	F	Soltero(a)	3	San Pedro
736	F	Soltero(a)	1	San Miguel 
739	F	Casado(a)	4	La Esperanza
740	F	Soltero(a)	5	Santa Ana
741	F	Casado(a)	2	Santa Ana
742	F	Casado(a)	4	San Juan
745	F	Casado(a)	5	San Juan
746	F	Soltero(a)	1	San Juan
747	F	Casado(a)	4	Santa Ana
749	F	Soltero(a)	2	San Pedro
750	F	Soltero(a)	3	San Juan
751	F	Soltero(a)	3	San Juan
753	F	Soltero(a)	1	Santa Ana
754	F	Soltero(a)	3	Santa Ana
755	F	Soltero(a)	3	San Juan
757	F	Soltero(a)	4	San Juan
758	F	Soltero(a)	4	San Miguel 
759	F	Casado(a)	1	San Pedro
760	F	Soltero(a)	1	Santa Ana
766	F	Casado(a)	4	San Juan
767	F	Soltero(a)	2	La Esperanza
769	F	Soltero(a)	4	Santa Ana
770	F	Soltero(a)	3	San Juan
771	F	Soltero(a)	3	San Juan
774	F	Casado(a)	1	San Juan
779	F	Casado(a)	2	San Juan
780	F	Soltero(a)	5	San Juan
781	F	Casado(a)	2	Santa Ana
782	F	Casado(a)	5	San Juan
783	F	Soltero(a)	1	Santa Ana
786	F	Soltero(a)	1	San Juan
788	F	Casado(a)	5	San Juan
789	F	Casado(a)	4	Santa Ana
790	F	Soltero(a)	2	San Juan
792	F	Soltero(a)	3	San Juan
796	F	Soltero(a)	4	Santa Ana
799	F	Casado(a)	2	San Pedro
803	F	Soltero(a)	2	San Juan
804	F	Casado(a)	2	La Esperanza
806	F	Casado(a)	2	San Juan
808	F	Soltero(a)	1	San Juan
810	F	Casado(a)	3	San Pedro
815	F	Casado(a)	3	La Esperanza
816	F	Casado(a)	4	San Pedro
817	F	Soltero(a)	2	San Juan
818	F	Casado(a)	2	San Juan
819	F	Soltero(a)	2	San Juan
820	F	Soltero(a)	5	Santa Ana
822	F	Soltero(a)	2	San Pedro
823	F	Soltero(a)	3	Santa Ana
824	F	Soltero(a)	3	San Pedro
826	F	Casado(a)	3	La Esperanza
827	F	Soltero(a)	1	Santa Ana
828	F	Casado(a)	1	San Juan
831	F	Casado(a)	2	San Juan
834	F	Soltero(a)	2	Santa Ana
837	F	Soltero(a)	4	Santa Ana
838	F	Soltero(a)	4	La Esperanza
839	F	Soltero(a)	3	San Juan
841	F	Casado(a)	1	San Miguel 
843	F	Soltero(a)	1	La Esperanza
847	F	Casado(a)	4	San Juan
850	F	Casado(a)	2	Santa Ana
852	F	Soltero(a)	2	San Juan
856	F	Casado(a)	5	Santa Ana
857	F	Soltero(a)	4	San Juan
863	F	Casado(a)	5	San Juan
864	F	Soltero(a)	3	Santa Ana
866	F	Casado(a)	4	San Pedro
867	F	Soltero(a)	1	San Pedro
868	F	Soltero(a)	5	San Pedro
869	F	Soltero(a)	2	La Esperanza
870	F	Soltero(a)	3	Santa Ana
872	F	Casado(a)	3	La Esperanza
873	F	Casado(a)	4	Santa Ana
874	F	Casado(a)	1	San Pedro
875	F	Soltero(a)	4	San Pedro
876	F	Casado(a)	5	San Pedro
878	F	Soltero(a)	1	Santa Ana
879	F	Casado(a)	5	San Juan
880	M	Soltero(a)	1	Santa Ana
886	M	Casado(a)	4	San Juan
887	F	Soltero(a)	5	San Miguel 
893	F	Casado(a)	3	San Juan
895	F	Soltero(a)	5	San Pedro
896	F	Casado(a)	5	San Pedro
897	M	Soltero(a)	1	San Pedro
898	F	Casado(a)	1	San Pedro
900	F	Soltero(a)	1	Santa Ana
901	M	Soltero(a)	2	San Juan
904	M	Casado(a)	4	San Pedro
905	M	Soltero(a)	4	Santa Ana
906	M	Casado(a)	1	Santa Ana
907	F	Casado(a)	3	San Pedro
908	F	Soltero(a)	4	Santa Ana
909	F	Soltero(a)	1	San Juan
910	M	Soltero(a)	1	San Juan
911	M	Soltero(a)	2	San Pedro
913	M	Casado(a)	2	La Esperanza
916	M	Soltero(a)	3	San Juan
917	M	Casado(a)	2	San Juan
918	M	Casado(a)	1	Santa Ana
919	M	Casado(a)	5	La Esperanza
921	M	Soltero(a)	5	La Esperanza
922	M	Soltero(a)	4	San Pedro
924	M	Casado(a)	5	Santa Ana
925	M	Soltero(a)	1	San Pedro
927	M	Casado(a)	3	San Pedro
930	F	Casado(a)	2	San Juan
933	M	Soltero(a)	2	San Pedro
934	F	Soltero(a)	1	San Juan
937	F	Casado(a)	4	San Pedro
938	M	Casado(a)	4	La Esperanza
941	M	Soltero(a)	1	San Juan
943	F	Soltero(a)	2	San Pedro
944	F	Casado(a)	3	San Juan
948	M	Soltero(a)	5	La Esperanza
950	M	Soltero(a)	4	San Juan
952	M	Casado(a)	2	San Pedro
955	F	Casado(a)	3	San Juan
958	M	Casado(a)	4	Santa Ana
959	M	Soltero(a)	1	San Pedro
962	M	Casado(a)	2	San Juan
965	F	Casado(a)	2	La Esperanza
967	F	Soltero(a)	1	San Juan
968	F	Casado(a)	1	San Juan
970	F	Soltero(a)	1	San Miguel 
971	F	Casado(a)	3	La Esperanza
972	M	Soltero(a)	4	La Esperanza
974	F	Casado(a)	4	San Pedro
975	F	Soltero(a)	1	San Pedro
976	F	Casado(a)	5	Santa Ana
978	M	Casado(a)	3	La Esperanza
979	F	Soltero(a)	1	San Juan
981	M	Soltero(a)	1	Santa Ana
983	F	Soltero(a)	2	Santa Ana
985	F	Casado(a)	2	Santa Ana
988	F	Casado(a)	2	San Juan
991	F	Casado(a)	1	Santa Ana
992	F	Soltero(a)	3	San Juan
993	M	Casado(a)	3	San Juan
994	M	Soltero(a)	5	San Juan
995	M	Casado(a)	1	San Juan
996	M	Soltero(a)	2	San Juan
997	F	Soltero(a)	4	Santa Ana
1002	F	Casado(a)	2	La Esperanza
1003	M	Casado(a)	3	San Juan
1004	F	Casado(a)	3	San Juan
1005	M	Soltero(a)	2	Santa Ana
1013	F	Casado(a)	2	La Esperanza
1014	F	Casado(a)	2	La Esperanza
1015	M	Casado(a)	4	San Juan
1017	F	Casado(a)	4	San Pedro
1022	M	Casado(a)	3	San Pedro
1023	M	Casado(a)	1	San Juan
1024	F	Casado(a)	1	San Juan
1025	M	Casado(a)	2	San Pedro
1026	M	Soltero(a)	1	La Esperanza
1031	F	Casado(a)	2	San Pedro
1032	F	Casado(a)	2	La Esperanza
1035	M	Casado(a)	1	San Juan
1036	F	Soltero(a)	3	San Juan
1037	M	Soltero(a)	5	San Pedro
1038	F	Casado(a)	3	La Esperanza
1041	M	Soltero(a)	4	Santa Ana
1042	F	Casado(a)	1	Santa Ana
1044	F	Soltero(a)	1	Santa Ana
1048	M	Soltero(a)	4	San Juan
1049	F	Casado(a)	4	Santa Ana
1050	F	Soltero(a)	1	San Pedro
1051	F	Soltero(a)	1	San Pedro
1052	F	Casado(a)	1	San Juan
1053	F	Soltero(a)	1	San Juan
1055	M	Casado(a)	1	San Juan
1056	F	Casado(a)	2	La Esperanza
1057	F	Casado(a)	2	San Miguel 
1058	F	Soltero(a)	2	San Juan
1059	M	Soltero(a)	4	San Pedro
1062	F	Casado(a)	4	La Esperanza
1066	M	Casado(a)	1	San Miguel 
1067	M	Soltero(a)	2	San Pedro
1068	M	Casado(a)	1	San Pedro
1070	F	Soltero(a)	2	Santa Ana
1071	M	Soltero(a)	1	San Juan
1073	M	Soltero(a)	5	San Juan
1074	M	Soltero(a)	1	San Juan
1076	F	Casado(a)	4	San Miguel 
1079	F	Casado(a)	2	San Juan
1082	F	Casado(a)	3	San Juan
1083	M	Casado(a)	5	Santa Ana
1084	M	Casado(a)	2	Santa Ana
1085	F	Soltero(a)	4	San Pedro
1089	M	Soltero(a)	3	San Juan
1090	M	Soltero(a)	1	San Juan
1091	F	Soltero(a)	1	San Juan
1092	M	Casado(a)	3	San Pedro
1093	F	Soltero(a)	3	San Juan
1094	F	Casado(a)	3	San Juan
1097	M	Soltero(a)	1	La Esperanza
1101	M	Casado(a)	3	San Pedro
1102	F	Casado(a)	2	San Juan
1103	F	Casado(a)	4	Santa Ana
1107	M	Soltero(a)	1	San Miguel 
1109	F	Soltero(a)	5	San Pedro
1110	M	Casado(a)	2	San Juan
1111	M	Casado(a)	1	San Miguel 
1112	M	Casado(a)	4	Santa Ana
1113	M	Casado(a)	1	La Esperanza
1114	M	Casado(a)	4	Santa Ana
1115	F	Soltero(a)	3	San Miguel 
1116	M	Soltero(a)	4	San Pedro
1117	M	Soltero(a)	5	La Esperanza
1119	F	Casado(a)	2	San Pedro
1124	M	Soltero(a)	3	Santa Ana
1125	F	Casado(a)	1	La Esperanza
1127	M	Soltero(a)	5	San Pedro
1128	F	Soltero(a)	1	San Juan
1130	M	Soltero(a)	5	San Juan
1131	M	Soltero(a)	1	San Juan
1132	F	Casado(a)	2	Santa Ana
1133	F	Soltero(a)	3	San Juan
1135	F	Casado(a)	2	San Pedro
1138	M	Casado(a)	2	San Pedro
1140	M	Casado(a)	1	San Miguel 
1141	M	Soltero(a)	3	Santa Ana
1144	M	Casado(a)	1	San Pedro
1145	F	Soltero(a)	1	San Juan
1146	F	Casado(a)	5	Santa Ana
1147	F	Soltero(a)	3	San Juan
1152	M	Casado(a)	4	San Juan
1153	M	Soltero(a)	1	San Juan
1154	F	Soltero(a)	5	San Juan
1157	M	Casado(a)	1	Santa Ana
1159	F	Soltero(a)	2	Santa Ana
1161	M	Soltero(a)	5	San Juan
1162	M	Casado(a)	2	San Pedro
1164	F	Soltero(a)	1	La Esperanza
1166	M	Soltero(a)	1	San Juan
1167	M	Casado(a)	3	San Pedro
1168	F	Casado(a)	1	San Juan
1169	M	Casado(a)	1	San Pedro
1170	F	Soltero(a)	5	Santa Ana
1171	F	Soltero(a)	2	San Pedro
1172	M	Casado(a)	3	San Juan
1173	M	Soltero(a)	2	San Juan
1174	M	Soltero(a)	5	La Esperanza
1175	F	Casado(a)	4	San Juan
1177	F	Soltero(a)	1	La Esperanza
1178	M	Soltero(a)	4	Santa Ana
1180	M	Casado(a)	5	San Pedro
1183	M	Soltero(a)	3	La Esperanza
1184	M	Soltero(a)	5	San Miguel 
1185	M	Casado(a)	4	San Juan
1187	M	Soltero(a)	2	San Juan
1189	M	Soltero(a)	3	San Juan
1190	F	Soltero(a)	5	San Pedro
1191	M	Soltero(a)	2	Santa Ana
1192	M	Casado(a)	4	San Juan
1193	F	Soltero(a)	1	San Juan
1194	F	Soltero(a)	1	Santa Ana
1195	F	Soltero(a)	5	Santa Ana
1196	M	Soltero(a)	1	San Juan
1197	M	Soltero(a)	1	La Esperanza
1201	M	Casado(a)	1	Santa Ana
1202	M	Casado(a)	1	Santa Ana
1203	M	Casado(a)	2	San Juan
1204	F	Casado(a)	4	Santa Ana
1205	F	Casado(a)	1	San Juan
1207	M	Soltero(a)	2	San Miguel 
1209	M	Casado(a)	3	Santa Ana
1212	M	Casado(a)	3	San Miguel 
1214	M	Casado(a)	3	Santa Ana
1215	M	Soltero(a)	1	San Juan
1216	M	Soltero(a)	1	San Juan
1217	F	Soltero(a)	3	San Pedro
1221	F	Casado(a)	1	San Juan
1222	M	Casado(a)	3	Santa Ana
1224	M	Casado(a)	3	Santa Ana
1228	M	Soltero(a)	3	San Pedro
1232	M	Casado(a)	2	La Esperanza
1234	F	Casado(a)	1	San Pedro
1235	M	Soltero(a)	2	Santa Ana
1236	M	Soltero(a)	3	San Pedro
1237	M	Casado(a)	2	San Juan
1240	F	Casado(a)	2	San Juan
1241	M	Soltero(a)	5	Santa Ana
1244	F	Casado(a)	1	Santa Ana
1245	F	Soltero(a)	2	San Juan
1249	F	Soltero(a)	2	San Juan
1253	M	Soltero(a)	4	San Juan
1254	F	Casado(a)	1	San Juan
1256	M	Casado(a)	5	San Pedro
1259	F	Casado(a)	1	Santa Ana
1260	F	Casado(a)	4	La Esperanza
1261	F	Soltero(a)	3	Santa Ana
1262	M	Soltero(a)	5	San Pedro
1265	F	Casado(a)	2	La Esperanza
1266	F	Soltero(a)	4	San Juan
1268	F	Soltero(a)	2	Santa Ana
1270	F	Casado(a)	1	San Pedro
1271	M	Soltero(a)	2	San Juan
1274	M	Soltero(a)	2	San Pedro
1275	M	Soltero(a)	4	Santa Ana
1277	F	Casado(a)	1	La Esperanza
1279	F	Soltero(a)	3	Santa Ana
1281	F	Casado(a)	4	Santa Ana
1282	F	Soltero(a)	3	Santa Ana
1284	F	Soltero(a)	1	Santa Ana
1285	M	Casado(a)	5	San Juan
1286	M	Casado(a)	4	Santa Ana
1289	M	Casado(a)	4	La Esperanza
1293	M	Casado(a)	3	San Miguel 
1295	M	Casado(a)	3	La Esperanza
1297	M	Soltero(a)	4	Santa Ana
1300	M	Casado(a)	1	San Miguel 
1304	M	Soltero(a)	3	San Juan
1306	M	Casado(a)	4	San Juan
1309	F	Casado(a)	1	Santa Ana
1310	F	Casado(a)	4	Santa Ana
1311	M	Casado(a)	4	Santa Ana
1312	F	Soltero(a)	2	Santa Ana
1313	F	Casado(a)	1	San Juan
1316	M	Casado(a)	3	San Juan
1317	F	Soltero(a)	2	Santa Ana
1319	M	Casado(a)	1	Santa Ana
1321	M	Casado(a)	3	San Juan
1322	M	Soltero(a)	5	San Juan
1325	M	Soltero(a)	4	La Esperanza
1328	M	Soltero(a)	5	San Juan
1329	F	Soltero(a)	3	San Juan
1330	M	Soltero(a)	4	San Juan
1331	F	Soltero(a)	4	San Juan
1332	F	Casado(a)	3	Santa Ana
1334	M	Casado(a)	3	San Juan
1337	M	Soltero(a)	5	San Juan
1338	M	Soltero(a)	5	Santa Ana
1339	F	Soltero(a)	2	San Juan
1341	M	Casado(a)	3	Santa Ana
1343	M	Casado(a)	1	La Esperanza
1344	M	Soltero(a)	3	San Pedro
1345	F	Casado(a)	5	San Juan
1346	F	Soltero(a)	4	San Juan
1347	M	Casado(a)	2	San Juan
1350	M	Casado(a)	5	San Pedro
1352	M	Soltero(a)	4	San Juan
1357	F	Soltero(a)	5	Santa Ana
1360	M	Casado(a)	4	San Juan
1361	F	Soltero(a)	1	Santa Ana
1362	M	Soltero(a)	4	San Pedro
1366	F	Soltero(a)	4	San Juan
1367	F	Soltero(a)	3	San Pedro
